STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,25-05-1961,,,,,0,0,0,81,56
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,26-05-1961,,,,,0.22,0,0,78,63
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,27-05-1961,,,,,0.45,0,0,69,43
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,28-05-1961,,,,,0,0,0,71,43
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,29-05-1961,,,,,0,0,0,77,48
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,30-05-1961,,,,,0,0,0,82,53
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,31-05-1961,,,,,0,0,0,85,55
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,01-06-1961,,,,,0,0,0,86,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,02-06-1961,,,,,0,0,0,89,64
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,03-06-1961,,,,,0,0,0,91,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,04-06-1961,,,,,0,0,0,90,63
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,05-06-1961,,,,,0,0,0,90,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,06-06-1961,,,,,0,0,0,92,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,07-06-1961,,,,,0,0,0,93,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,08-06-1961,,,,,0,0,0,93,69
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,09-06-1961,,,,,0,0,0,95,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,10-06-1961,,,,,0,0,0,91,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,11-06-1961,,,,,0.04,0,0,94,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,12-06-1961,,,,,0,0,0,95,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,13-06-1961,,,,,0.29,0,0,95,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,14-06-1961,,,,,0,0,0,95,70
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,15-06-1961,,,,,0.8,0,0,93,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,16-06-1961,,,,,0.51,0,0,88,55
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,17-06-1961,,,,,0,0,0,64,56
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,18-06-1961,,,,,0,0,0,68,55
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,19-06-1961,,,,,0,0,0,78,50
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,20-06-1961,,,,,0,0,0,84,58
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,21-06-1961,,,,,1.29,0,0,75,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,22-06-1961,,,,,0.47,0,0,80,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,23-06-1961,,,,,0,0,0,86,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,24-06-1961,,,,,0.07,0,0,87,63
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,25-06-1961,,,,,0.48,0,0,87,63
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,26-06-1961,,,,,0,0,0,85,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,27-06-1961,,,,,0.37,0,0,86,66
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,28-06-1961,,,,,0,0,0,78,68
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,29-06-1961,,,,,0.06,0,0,83,65
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,30-06-1961,,,,,0,0,0,83,60
