STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,20-02-1945,0.69,,45,36
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,21-02-1945,0.07,,63,38
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,22-02-1945,0.97,,67,52
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,23-02-1945,0.01,,62,40
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,24-02-1945,0,,67,40
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,25-02-1945,0,,68,42
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,26-02-1945,0.05,,72,50
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,27-02-1945,0,,78,58
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,28-02-1945,0.21,,79,49
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,01-03-1945,0,,66,38
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,02-03-1945,0,,77,44
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,03-03-1945,0,,79,55
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,04-03-1945,0,,79,56
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,05-03-1945,0,,67,58
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,06-03-1945,0,,82,54
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,07-03-1945,0,,79,53
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,08-03-1945,0,,68,45
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,09-03-1945,0,,68,41
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,10-03-1945,0,,72,43
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,11-03-1945,0,,71,45
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,12-03-1945,0,,75,49
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,13-03-1945,0.04,,65,53
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,14-03-1945,0.28,,68,55
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,15-03-1945,0,,78,53
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,16-03-1945,0,,86,63
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,17-03-1945,0,,90,65
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,18-03-1945,0,,90,66
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,19-03-1945,0,,88,64
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,20-03-1945,0.19,,83,62
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,21-03-1945,0.01,,63,44
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,22-03-1945,0,,69,42
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,23-03-1945,0,,81,43
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,24-03-1945,0,,87,58
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,25-03-1945,0,,86,58
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,26-03-1945,0.23,,79,60
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,27-03-1945,0,,82,54
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,28-03-1945,0,,86,60
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,29-03-1945,0,,84,59
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,30-03-1945,0,,84,58
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,31-03-1945,0,,82,64
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,01-04-1945,0,,84,63
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,02-04-1945,0.03,,76,64
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,03-04-1945,0,,88,59
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,04-04-1945,0,,89,63
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,05-04-1945,0,,69,52
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,06-04-1945,0.04,,53,43
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,07-04-1945,0,,69,36
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,08-04-1945,0,,77,47
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,09-04-1945,0,,82,57
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,10-04-1945,0,,80,55
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,11-04-1945,0,,78,52
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,12-04-1945,0,,86,61
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,13-04-1945,0,,86,62
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,14-04-1945,0,,88,62
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,15-04-1945,0,,89,63
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,16-04-1945,0,,88,63
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,17-04-1945,0.51,,76,64
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,18-04-1945,0,,79,56
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,19-04-1945,0,,75,51
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,20-04-1945,0,,84,54
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,21-04-1945,0,,88,60
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,22-04-1945,0.92,,81,60
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,23-04-1945,0.81,,73,60
